(sec),(mm),(kgf)
85.10001,5.67332,4.11302
85.20001,5.68001,4.13822
85.3,5.68666,4.13435
85.4,5.69335,4.1527
85.50001,5.7,4.13452
85.60001,5.70653,4.15954
85.70001,5.71334,4.15013
85.8,5.71998,4.14652
85.9,5.72668,4.14667
86.00001,5.73342,4.15774
86.10001,5.73996,4.14671
86.20001,5.74666,4.14571
86.3,5.75341,4.15108
86.4,5.75989,4.15534
86.50001,5.76653,4.18479
86.60001,5.7735,4.154
86.70001,5.78003,4.1617
86.8,5.78662,4.15274
86.9,5.79342,4.16389
87.00001,5.80007,4.15729
87.10001,5.8066,4.16734
87.20001,5.81335,4.16178
87.3,5.82,4.17793
87.4,5.82669,4.17218
87.50001,5.83339,4.17802
87.60001,5.84003,4.19083
87.70001,5.84662,4.19184
87.8,5.85337,4.18273
87.9,5.85996,4.20735
88.00001,5.86666,4.16733
88.10001,5.8733,4.19314
88.20001,5.88,4.20412
88.3,5.88675,4.18104
88.4,5.89334,4.1927
88.50001,5.89992,4.20694
88.60001,5.90678,4.1781
88.70001,5.91332,4.20094
88.8,5.91985,4.191
88.9,5.92676,4.2211
89.00001,5.9333,4.20585
89.10001,5.93994,4.23035
89.20001,5.94675,4.22616
89.3,5.95328,4.22192
89.4,5.95998,4.21369
89.50001,5.96678,4.21775
89.60001,5.97332,4.21396
89.70001,5.97991,4.22762
89.8,5.98671,4.20742
89.9,5.99335,4.20549
90.00001,6,4.18708
90.10001,6.00675,4.21614
90.20001,6.01339,4.24122
90.3,6.01998,4.23624
90.4,6.02667,4.23433
90.50001,6.03326,4.22518
90.60001,6.04001,4.23429
90.70001,6.04671,4.24561
90.8,6.0533,4.21452
90.9,6.06005,4.23593
91.00001,6.06669,4.24579
91.10001,6.07328,4.23252
91.20001,6.08003,4.24359
91.3,6.08662,4.21819
91.4,6.09332,4.25462
91.50001,6.10012,4.25239
91.60001,6.10666,4.23378
91.70001,6.11325,4.25886
91.8,6.1201,4.26713
91.9,6.12664,4.23039
92.00001,6.13323,4.26118
92.10001,6.14003,4.27264
92.20001,6.14667,4.27011
92.3,6.15332,4.26131
92.4,6.16007,4.25701
92.50001,6.1666,4.27107
92.60001,6.1733,4.27761
92.70001,6.18005,4.26185
92.8,6.18664,4.27896
92.9,6.19334,4.27196
93.00001,6.20003,4.28649
93.10001,6.20667,4.28555
93.20001,6.21337,4.27166
93.3,6.21996,4.28541
93.4,6.22671,4.29506
93.50001,6.23341,4.2758
93.60001,6.23994,4.27478
93.70001,6.24653,4.28854
93.8,6.25339,4.31382
93.9,6.25998,4.28317
94.00001,6.26662,4.29793
94.10001,6.27342,4.27785
94.20001,6.28001,4.30153
94.3,6.2866,4.2846
94.4,6.29341,4.29749
94.50001,6.29994,4.30793
94.60001,6.30664,4.30482
94.70001,6.3135,4.29099
94.8,6.32003,4.31076
94.9,6.32657,4.29968
95.00001,6.33342,4.33012
95.10001,6.34001,4.30124
95.20001,6.3466,4.30628
95.3,6.3533,4.33471
95.4,6.36,4.30571
95.50001,6.36669,4.32933
95.60001,6.37333,4.29986
95.70001,6.37992,4.3252
95.8,6.38673,4.31471
95.9,6.39326,4.31469
96.00001,6.39996,4.32784
96.10001,6.40671,4.32656
96.20001,6.4133,4.32995
96.3,6.41994,4.31767
96.4,6.4268,4.35849
96.50001,6.43328,4.33506
96.60001,6.43998,4.31192
96.70001,6.44678,4.32712
96.8,6.45332,4.3561
96.9,6.45991,4.34472
97.00001,6.46676,4.36738
97.10001,6.47335,4.31991
97.20001,6.47994,4.34033
97.3,6.48675,4.36406
97.4,6.49339,4.35942
97.50001,6.49998,4.33846
97.60001,6.50673,4.32829
97.70001,6.51332,4.37031
97.8,6.51996,4.35614
97.9,6.52666,4.34287
98.00001,6.53335,4.36771
98.10001,6.54005,4.35807
98.20001,6.54669,4.37077
98.3,6.55328,4.3535
98.4,6.56003,4.36575
98.50001,6.56657,4.35855
98.60001,6.57321,4.35869
98.70001,6.58012,4.39373
98.8,6.58666,4.36126
98.9,6.59325,4.36808
99.00001,6.6001,4.36866
99.10001,6.60664,4.36168
99.20001,6.61323,4.39444
99.3,6.62009,4.38902
99.4,6.62667,4.39889
